sku,_store,_attribute_set,_type,_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
1228-133,,Default,simple,,base,,,,"2010-12-17 21:41:39",,,,,"Briefly describes the Recovery Version features with information for ordering a Bible via our Internet Web site, by phone, or by mail. 3.5 x 2 inches.",1,,,0,/w/a/wallet_card_rcv_large_sidea.jpg,,No,,,,,,,,"Use config","Use config"," Wallet-sized Card ""A Bible You Can Understand"" English",,,"Block after Info Column",,0.1000,0,"Briefly describes the Recovery Version features with information for ordering a Bible via our Internet Web site, by phone, or by mail. 3.5 x 2 inches.",/w/a/wallet_card_rcv_thumbnail.jpg,,"2012-07-25 00:00:00",0.1000,,1,2,/w/a/wallet_card_rcv_thumbnail.jpg,,"2012-07-25 21:06:39",wallet-sized-cards-english-bible-you-can-understand,wallet-sized-cards-english-bible-you-can-understand.html,1,0.0058,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,0,1,0.0000,1,0,,,,,,,,,,,,,,77,/w/a/wallet_card_rcv_thumbnail.jpg,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/w/a/wallet_card_rcv_large_sideb.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/w/a/wallet_card_rcv_large_sidea.jpg,,2,0
2228-132,,Default,simple,,base,,,,"2010-12-17 21:41:53",,,,,"<p><em>Folleto tama&ntilde;o cartera</em>&$8212;Describe brevemente las caracter&iacute;sticas sobresalientes de la Versi&oacute;n Recobro, al igual que presenta la informaci&oacute;n para ordenar una Biblia por medio de nuestra p&aacute;gina de Internet, v&iacute;a telef&oacute;nica o correo postal. 3.5 x 2 pulgadas.</p>",1,,,0,/l/r/lrg_spanish-wallet-card.jpg,,No,,,,,,,,,," Wallet-sized Card ""A Bible You Can Understand"" SPANISH",,,"Block after Info Column",,0.1000,0,"<p><em>Folleto tama&ntilde;o cartera</em>&$8212;Describe brevemente las caracter&iacute;sticas sobresalientes de la Versi&oacute;n Recobro, al igual que presenta la informaci&oacute;n para ordenar una Biblia por medio de nuestra p&aacute;gina de Internet, v&iacute;a telef&oacute;nica o correo postal. 3.5 x 2 pulgadas.</p>",/t/h/thumb_spanish_wallet_card.jpg,,,0.1000,,1,2,/t/h/thumb_spanish_wallet_card.jpg,,"2011-01-12 23:08:38",folleto-tama-o-cartera,folleto-tama-o-cartera.html,1,0.0058,112524.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/thumb_spanish_wallet_card.jpg,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_spanish-wallet-card.jpg,,2,0
1228-118,,Default,simple,,base,,,,"2010-12-17 21:41:58",,,,,"Describes the Recovery Version features with a sample page, verse, and footnote, and information for ordering a Bible via our Internet Web site, by phone, or by mail. Also available in Spanish. 6 x 4 inches. ",1,,,0,/l/r/lrg_brochure1.jpg,,No,,,,,,,,"Use config","Use config"," Pocket-sized Brochure English",,,"Block after Info Column",,0.2500,0,"Describes the Recovery Version features with a sample page, verse, and footnote, and information for ordering a Bible via our Internet Web site, by phone, or by mail. Also available in Spanish. 6 x 4 inches. ",/t/h/thumb_brochure.jpg,,"2011-11-28 00:00:00",0.2500,,2,2,/t/h/thumb_brochure.jpg,,"2013-03-11 23:37:46",pocket-sized-brochures-english,pocket-sized-brochures-english.html,1,0.0157,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,0,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/thumb_brochure.jpg,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_brochure2.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_brochure1.jpg,,2,0
2228-118,,Default,simple,,base,,,,"2010-12-17 21:42:02",,,,,"Describes the Recovery Version features with a sample page, verse, and footnote, and information for ordering a Bible via our Internet Web site, by phone, or by mail. Also available in English. 6 x 4 inches. ",1,,,0,/l/r/lrg_spanish_brochure1.jpg,,No,,,,,,,,"Use config","Use config"," Pocket-sized Brochure SPANISH",,,"Block after Info Column",,0.2500,0,"Describes the Recovery Version features with a sample page, verse, and footnote, and information for ordering a Bible via our Internet Web site, by phone, or by mail. Also available in English. 6 x 4 inches. ",/t/h/thumb_spanish_brochure1.jpg,,"2011-11-28 00:00:00",0.2500,,1,2,/t/h/thumb_spanish_brochure1.jpg,,"2011-11-29 01:27:42",folleto-tamano-bolsillo-espanol,folleto-tamano-bolsillo-espanol.html,1,0.0157,15638.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/thumb_spanish_brochure1.jpg,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_spanish_brochure1.jpg,,2,0
